Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
The Cider House Rules (1999),"Drama, Romance","A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world."
Strictly Ballroom (1992),"Comedy, Drama, Music",A maverick dancer risks his career by performing an unusual routine and sets out to succeed with a new partner.
Life Itself (2018),"Drama, Romance","As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes."
Corpse Bride (2005),"Animation, Drama, Family","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
The Big Sick (2017),"Comedy, Drama, Romance","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings."
The American President (1995),"Comedy, Drama, Romance","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
Vision Quest (1985),"Drama, Romance, Sport","A high school wrestler in Spokane, Washington has trouble focusing on his training regimen when a beautiful young drifter takes up temporary residence at his home."
The Unbearable Lightness of Being (1988),"Drama, Romance","Central Europe, 1968: A Czech doctor with an active sex life meets a woman who wants monogamy, and then the Soviet invasion further disrupts their lives."
Tarzan the Ape Man (1932),"Action, Adventure, Romance","A trader and his daughter set off in search of the fabled graveyard of the elephants in deepest Africa, only to encounter a wild man raised by apes."
The Bride Wore Red (1937),"Comedy, Drama, Romance",A lounge singer is sent by a count to pose as a wealthy socialite.
I Saw the Light (2015),"Biography, Drama, Music","The story of the country-western singerHank Williams, who in his brief life created one of the greatest bodies of work in American music. The film chronicles his rise to fame and its tragic effect on his health and personal life."
It Takes Two (1995),"Comedy, Family, Romance","Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day."
The Diary of a Teenage Girl (2015),"Comedy, Drama, Romance",A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.
Maurice (1987),"Drama, Romance","Two English school chums find themselves falling in love at Cambridge. To regain his place in society, Clive gives up Maurice and marries. While staying with Clive and his wife, Maurice discovers romance in the arms of the gamekeeper Alec."
The Bounty (1984),"Adventure, Drama, History","Fed up with their Captain's harsh discipline, a sailing ship's crew decides to take action."
Win a Date with Tad Hamilton! (2004),"Comedy, Romance","A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend."
40 Days and 40 Nights (2002),"Comedy, Romance","After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it."
The Rosie Project (),"Drama, Romance","An unlucky-in-love university professor creates an elaborate questionnaire in an effort to find a wife and meets an unconventional woman who doesn't match any of his ""requirements"", but might be the perfect woman for him."
Alice Doesn't Live Here Anymore (1974),"Drama, Romance","A recently widowed woman is on the road with her precocious young son, determined to make a new life for herself as a singer."
All Good Things (2010),"Crime, Drama, Mystery","David Marks, a real estate scion, is suspected of killing his wife Katie, who disappeared in 1982."
Été 85 (2020),"Drama, Romance","When 16-year-old Alexis capsizes off the coast of Normandy, 18-year-old David heroically saves him. Alexis has just met the friend of his dreams, who opens his eyes to a new horizon of friendship, art and sexual bliss."
Varsity Blues (1999),"Comedy, Drama, Romance",A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.
Morning Glory (2010),"Comedy, Drama, Romance",An upstart television producer accepts the challenge of reviving a struggling morning show program with warring co-hosts.
Faraway (2023),"Comedy, Drama, Romance","Zeynep is unhappy. That's why she flees to a Croatian island, where her deceased mother bought a house long ago. She hopes to find peace and relaxation finally - but she hasn't reckoned with Josip, who still lives on the property."
Baby Boom (1987),"Comedy, Drama, Romance",The life of super-yuppie J.C. is thrown into turmoil when she inherits a baby from a distant relative.
Les cinq diables (2022),"Drama, Fantasy, Romance","Vicky lives with her mother Joanne and father Jimmie, a man struggling to find his place. When Vicky's aunt Julia arrives after being released from prison, her presence brings back the past in a violent, magical way."
Time Is Up 2 (2022),"Drama, Romance",Vivien accompanies her partner Roy to his childhood home to prepare for the sale of the family estate. Their relationship is put into jeopardy when secrets from Roy's past are revealed.
A Hidden Life (2019),"Biography, Drama, Romance","The Austrian Franz Jägerstätter, a conscientious objector, refuses to fight for the Nazis in World War II."
Milk Money (1994),"Comedy, Romance",A group of young boys befriend a prostitute named V.
Chasing Amy (1997),"Comedy, Drama, Romance","Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian."
Safety Not Guaranteed (2012),"Adventure, Comedy, Drama",Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.
Zoolander 2 (2016),"Action, Adventure, Comedy","Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy."
The Lake House (2006),"Drama, Fantasy, Romance","A lonely doctor who once occupied an unusual lakeside house begins to exchange love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late."
Mothering Sunday (I) (2021),"Drama, Romance",A maid living in post-World War I England secretly plans to meet with the man she loves before he leaves to marry another woman.
The Invention of Lying (2009),"Comedy, Fantasy, Romance","A comedy set in a world where no one has ever lied, until a writer seizes the opportunity for personal gain."
The Host (2013),"Action, Adventure, Drama","When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie Stryder risks everything to protect the people she cares about."
Notorious (1946),"Drama, Film-Noir, Romance",The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
Meet Cute (I) (2022),"Comedy, Drama, Fantasy","What would you do if you could travel to your loved ones' past, heal their traumas, fix their problems, and change them into the perfect partner?"
Harold and Maude (1971),"Comedy, Drama, Romance","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
Road to Morocco (1942),"Adventure, Comedy, Family","Two carefree castaways on a desert shore find an Arabian Nights city, where they compete for the luscious Princess Shalmar."
Across the Universe (2007),"Drama, Fantasy, History",The music ofThe Beatlesand the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.
Brideshead Revisited (2008),"Drama, Romance",A poignant story of forbidden love and the loss of innocence set in England prior to World War II.
The Big Country (1958),"Drama, Romance, Western","A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land."
The Little Hours (2017),"Comedy, Romance","In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation."
Explorers (1985),"Adventure, Comedy, Family","A boy obsessed with '50s sci-fi movies about aliens has a recurring dream about a blueprint of some kind, which he draws for his inventor friend. With the help of a third kid, they follow it and build themselves a spaceship. Now what?"
I Love You (2023),"Drama, Romance, Thriller","Sathya is a highly successful corporate executive who look forward to a bright future with her fiance,Vishal.One night ,when she is about to board a fight to Delhi, Satya finds herself trapped within the office .What danger awaits her?"
LOL (2012),"Comedy, Drama, Romance","As a new year at school begins, Lola's heart is broken by her boyfriend, though soon she's surprised by her best friend, promising musician Kyle, who reveals his feelings for her."
Notes on a Scandal (2006),"Crime, Drama, Romance","A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her fifteen-year-old students. However, her intentions with this new ""friend"" also go well beyond a platonic friendship."
Cinderella (1950),"Animation, Family, Fantasy","When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother."
The Darkest Minds (2018),"Action, Adventure, Drama","After a disease kills 98% of children, the survivors develop powers and are declared a threat. 16-year-old Ruby, escapes the government facility and joins a group of rebel teenagers ready to fight the government forces out to get them."
The Saint (1997),"Action, Adventure, Romance","Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret."
Bicentennial Man (1999),"Drama, Romance, Sci-Fi",An android endeavors to become human as he gradually acquires emotions.
La belle et la bête (2014),"Drama, Family, Fantasy",An unexpected romance blooms after the the youngest daughter of a merchant who has fallen on hard times offers herself to the mysterious beast to which her father has become indebted.
Entrapment (1999),"Action, Crime, Romance",An insurance agent is sent by her employer to track down and help capture an art thief.
The Wedding Planner (2001),"Comedy, Romance",Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.
Pride (I) (2014),"Biography, Comedy, Drama",U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
Belle de jour (1967),"Drama, Romance",A frigid young housewife decides to spend her midweek afternoons as a prostitute.
Serena (I) (2014),"Drama, History, Romance","In Depression-era North Carolina, the future of George Pemberton's timber empire becomes complicated when he marries Serena."
The Red Danube (1949),"Drama, Romance, War","Shortly after the end of World War II, British Colonel Michael S. ""Hooky"" Nicobar (Walter Pidgeon) is assigned to a unit in the British Zone of Vienna. His duty is to aid the Soviet ...See full summary»"
Damage (1992),"Drama, Romance",A member of Parliament falls passionately in love with his son's fiancée despite the dangers of discovery.
Two Moon Junction (1988),"Drama, Romance","A young Southern débutante temporarily abandons her posh lifestyle and upcoming, semi-arranged marriage to have a lustful and erotic fling with a rugged drifter who works at a local carnival."
The Nutty Professor (1996),"Comedy, Romance, Sci-Fi",Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love.
The Loft (2014),"Mystery, Romance, Thriller","Five married guys secretly share a penthouse loft in the city where they can carry out hidden affairs. The fantasy becomes a nightmare, however, when they discover a dead woman in the loft and realize one of the group must be involved."
My Fair Lady (1964),"Drama, Family, Musical","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society."
Just My Luck (2006),"Comedy, Fantasy, Romance","Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his."
Sleeping Beauty (1959),"Animation, Adventure, Family","After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies."
Far and Away (1992),"Adventure, Drama, Romance","A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely."
How to Be Single (2016),"Comedy, Drama, Romance",A group of young adults navigate love and relationships in New York City.
Dan in Real Life (I) (2007),"Comedy, Drama, Romance",A widower finds out the woman he fell in love with is his brother's girlfriend.
Stuck in Love (2012),"Comedy, Drama, Romance","An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year."
Durante la tormenta (2018),"Drama, Fantasy, Mystery",Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.
All the Right Moves (1983),"Drama, Romance, Sport",An ambitious young football star is trapped in a dying mill town--unless his gridiron skills can win him a way out.
Schulmädchen-Report 2. Teil - Was Eltern den Schlaf raubt (1971),"Comedy, Drama, Romance","10 vignettes about scandalous behavior of horny German schoolgirls. First, a strict, conservative teacher is lured by three of his beautiful, nubile young female students into a compromising situation with tragic results."
Submarine (2010),"Comedy, Drama, Romance","15-year-old Oliver Tate has two objectives: to lose his virginity before his next birthday, and to extinguish the flame between his mother and an ex-lover who has resurfaced in her life."
High Society (1956),"Comedy, Musical, Romance","With socialite Tracy Lord about to remarry, her ex-husband - with the help of a sympathetic reporter - has 48 hours to convince her that she really still loves him."
The Quiet Man (1952),"Comedy, Drama, Romance","A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
Tulip Fever (2017),"Drama, History, Romance",An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of seventeenth century Amsterdam.
La bête (1975),"Drama, Fantasy, Horror",In order to inherit a fortune a young woman agrees to marry a young man. She soon discovers that his family harbours a dark past involving a monstrous beast.
Monsters (2010),"Adventure, Drama, Romance","Six years after Earth has suffered an alien invasion, a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the U.S. border."
Emma (1996),"Comedy, Drama, Romance","While matchmaking for friends and neighbours, a young 19th Century Englishwoman nearly misses her own chance at love."
The Next Three Days (2010),"Action, Crime, Drama",A married couple's life is turned upside down when the wife is accused of a murder.
The Maltese Falcon (1941),"Crime, Film-Noir, Mystery","San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
Titanic (1953),"Drama, History, Romance","An unhappily married couple struggle to deal with their problems while on board the luxurious, ill-fated RMS Titanic."
Love & Basketball (2000),"Drama, Romance, Sport",Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.
Jane Eyre (2011),"Drama, Romance",A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.
Cabaret (1972),"Drama, Music, Musical",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
Purple Rain (1984),"Drama, Music, Romance","A young musician, tormented by an abusive situation at home, must contend with a rival singer, a burgeoning romance, and his own dissatisfied band, as his star begins to rise."
Gaslight (1944),"Crime, Drama, Mystery","Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane."
Tristan + Isolde (2006),"Action, Drama, Romance",An affair between the second in line to Britain's throne and the princess of the feuding Irish spells doom for the young lovers.
How the West Was Won (1962),"Drama, Romance, War","A family saga covering several decades of Westward expansion in the 19th century, including the Gold Rush, the Civil War, and the building of the railroads."
Bridget Jones's Baby (2016),"Comedy, Drama, Romance","Forty-something and single again, Bridget decides to focus on her job and surround herself with friends. Then she discovers that she is pregnant--but she is only 50% sure of the baby's father's identity."
Sleepover (2004),"Comedy, Family, Romance","Desperate to improve their social status, four best friends enter into an all-night scavenger hunt against the popular clique in their school."
The Last Seduction (1994),"Crime, Drama, Romance",A devious sexpot steals her husband's drug money and hides out in a small town where she meets the perfect dupe for her next scheme.
Mr. Malcolm's List (2022),"Comedy, Drama, Romance",A young woman courts a mysterious wealthy suitor in 19th century England.
Against All Odds (1984),"Action, Adventure, Crime","A gangster hires an ex-football player to find his girlfriend. When he finds her, they fall in love, and the twists start to appear."
King Solomon's Mines (1985),"Action, Adventure, Comedy",Fortune hunter Allan Quatermain teams up with a resourceful woman to help her find her missing father lost in the wilds of 1900s Africa while being pursued by hostile tribes and a rival German explorer.
Addicted (I) (2014),"Drama, Romance, Thriller",A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.
Gentlemen Prefer Blondes (1953),"Comedy, Musical, Romance","Showgirls Lorelei Lee and Dorothy Shaw travel to Paris, pursued by a private detective hired by the suspicious father of Lorelei's fiancé, as well as a rich, enamored old man and many other doting admirers."
Gigli (2003),"Comedy, Crime, Romance",Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney. A beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.
The Titan (2018),"Drama, Mystery, Romance",A military family takes part in a ground-breaking experiment of genetic evolution and space exploration.
Sing Street (2016),"Comedy, Drama, Music",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
The Pleasure of Your Company (2006),"Comedy, Romance","A guy proposes to his girlfriend, who drops dead. His BFF tries to get him to date other women but he only talks about his dead big love. At a diner he proposes to a cute waitress just to get his BFF off his back. She says yes."
50/50 (2011),"Comedy, Drama, Romance","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
Something's Gotta Give (2003),"Comedy, Drama, Romance",A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.
Hollywoodland (2006),"Biography, Crime, Drama","A detective examines the mysterious death ofGeorge Reeves, the star of the television seriesAdventures of Superman(1952)."
Shortcomings (2023),"Comedy, Drama, Romance","A trio of young Bay Area urbanites--Ben Tanaka, Miko Hayashi, and Alice Kim--as they navigate a range of interpersonal relationships, traversing the country in search of the ideal connection."
Tall Girl (2019),"Comedy, Drama, Family","Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall."
Guys and Dolls (1955),"Comedy, Crime, Musical","In New York, a gambler is challenged to take a cold female missionary to Havana, but they fall for each other, and the bet has a hidden motive to finance a crap game."
The Perfect Destiny (),"Drama, Family, Romance","Dazed and heart-broken, Alice pieces together the memories of life with her late husband into new memories with the unexpected love she finds in New York City."
Falcon Lake (2022),"Drama, Romance",A shy teenager on a summer vacation experiences the joy and pain of young adulthood when he forges an unlikely bond with an older girl.
The To Do List (2013),"Comedy, Romance","Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall."
Lady and the Tramp (1955),"Animation, Adventure, Comedy",The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
Virgin Territory (2007),"Adventure, Comedy, Romance",Young Florentines take refuge from the black plague and engage in bawdy adventures and lusty exchanges.
The Thomas Crown Affair (1968),"Crime, Drama, Romance","A debonair, adventuresome bank executive believes he has pulled off the perfect multi-million dollar heist, only to match wits with a sexy insurance investigator who will do anything to get her man."
Firebird (I) (2021),"Biography, Drama, Romance","Firebird follows a handsome, soulful young soldier who embarks on a clandestine sexual affair with a charismatic fighter pilot on a Soviet Air Force Base at the height of 1970's Communist rule."
I Feel Pretty (2018),"Comedy, Romance","A woman struggling with insecurity wakes from a fall believing she is the most beautiful and capable woman on the planet. Her new confidence empowers her to live fearlessly, but what happens when she realizes her appearance never changed?"
Ten Inch Hero (2007),"Comedy, Drama, Romance","An artist gets a job at a beachside sandwich shop, where she hangs out with a techie, a flirt, a rocker, a hippie, and a Wiccan."
Wanderlust (2012),"Comedy, Romance","Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules."
Women in Love (1969),"Drama, Romance","Two best friends fall in love with a pair of women, but the relationships soon go in very different directions."
Annie Get Your Gun (1950),"Comedy, Musical, Romance","The story of the great sharpshooterAnnie Oakley, who rose to fame while dealing with her love/professional rival, Frank Butler."
What Men Want (2019),"Comedy, Fantasy, Romance","A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts."
Killers (2010),"Action, Comedy, Romance","A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple."
Heartbreakers (2001),"Comedy, Crime, Romance",A mother and daughter con team seduce and scam wealthy men.
Staying Alive (1983),"Drama, Music, Romance","Five years later, Tony Manero's Saturday Night Fever is still burning. Now he's strutting toward his biggest challenge yet: succeeding as a dancer on the Broadway stage."
The Artist (I) (2011),"Comedy, Drama, Romance",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
Manhattan (1979),"Comedy, Drama, Romance",The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
The Devil's Disciple (1959),"Comedy, History, Romance",The black sheep of a family and the local minister discover their true vocations during the Revolutionary War.
When We First Met (2018),"Comedy, Fantasy, Romance","Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things."
First Daughter (2004),"Comedy, Drama, Romance",The daughter of the U.S. President heads off to college where she falls for a graduate student with a secret.
Judy (II) (2019),"Biography, Drama, Music",Legendary performerJudy Garlandarrives in London in the winter of 1968 to perform a series of sold-out concerts.
Of an Age (2022),"Drama, Romance","In the summer of 1999, a 17-year-old Serbian-born Australian amateur ballroom dancer experiences an unexpected and intense 24-hour romance with a friend's older brother."
Journey to the Center of the Earth (1959),"Adventure, Family, Fantasy",An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.
Above the Shadows (2019),"Drama, Fantasy, Romance",A young woman who has faded to the point of becoming invisible must find her way back with the help of the one man who can see her.
Someone Great (2019),"Comedy, Romance","After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship."
A Perfect Pairing (2022),"Comedy, Romance",It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.
Todo sobre mi madre (1999),"Comedy, Drama, Romance","Pedro Almodovar's Oscar-winning comedy (Best Foreign Film, 1999) about a bereaved mother, and overwrought actress, her jealous lover and a pregnant nun."
Hairspray (1988),"Comedy, Drama, Family",A 'pleasantly plump' teenager teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.
Mother's Day (I) (2016),"Comedy, Drama, Romance",Three generations come together in the week leading up to Mother's Day.
The African Queen (1951),"Adventure, Drama, Romance","In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
Diet of Sex (2014),"Comedy, Drama, Romance",Married couple and the wife cannot enjoy sex. In order to help the husband sees a sex therapist who makes suggestions. Very sexy movie with see all lovemaking and nothing left to the imagination.
Der Himmel über Berlin (1987),"Drama, Fantasy, Romance","An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
Crush (I) (2022),"Comedy, Romance",An aspiring young artist joins her high school track team and later discovers what real love feels like when she finds herself falling for an unexpected teammate.
Imagine Me & You (2005),"Comedy, Drama, Romance","A newlywed bride becomes infatuated with another woman who questions her sexual orientation, promoting a stir among the bride's family and friends."
The Secret: Dare to Dream (2020),"Drama, Romance","A feature film adaptation of the self-help book, 'The Secret', which focuses on the power of positive thinking."
A Dangerous Method (2011),"Biography, Drama, Romance",A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.
Junior (1994),"Comedy, Romance, Sci-Fi","As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body."
Bilitis (1977),"Drama, Romance",A coming of age story centering on the exploits of a young girl during summer vacation.
Bolero (1984),"Comedy, Drama, Romance","Set in the 1920s, a young woman sets out to lose her virginity. Her mission leads her to a Moroccan sheikh and a Spanish bullfighter."
Cosa voglio di più (2010),"Drama, Romance","One day at a colleague's going away party, Anna meets Domenico, a virile, slightly older chap who's married with two small kids. Passion's flames are rapidly kindled and result in steamy encounters."
Girl Happy (1965),"Comedy, Musical, Romance","A Chicago mobster hires a rock'n'roll singer and his band to keep an eye on his daughter during Spring Break in Fort Lauderdale, Florida."
Womb (2010),"Drama, Romance, Sci-Fi","A woman's consuming love forces her to bear the clone of her dead beloved. From his infancy to manhood, she faces the unavoidable complexities of her controversial decision."
Joy of Sex (1984),"Comedy, Romance","Convinced she's dying, a pretty high school senior sets out to lose her virginity before it's too late, and encounters a boy from her school on the same mission."
The Lizzie McGuire Movie (2003),"Adventure, Comedy, Family","Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true."
House Party (1990),"Comedy, Music, Romance","Kid decides to go to his friend Play's house party, but neither of them can predict what's in store for them on what could be the wildest night of their lives."
The Last American Virgin (1982),"Comedy, Drama, Romance","Pizza delivery boy Gary, loudmouth David and hunky Rick are three high school students out to lose their virginity any way they can. Gary falls for transfer student Karen, who gets involved with Rick."
Colette (I) (2018),"Biography, Drama, History","Colette is pushed by her husband to write novels under his name. Upon their success, she fights to make her talents known, challenging gender norms."
The Cutting Edge (1992),"Comedy, Drama, Romance",A temperamental figure skater and an arrogant former hockey player attempt to win the Olympic Gold Medal as a figure skating pairs team.
Once (I) (2007),"Drama, Music, Romance","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
It Could Happen to You (1994),"Comedy, Drama, Romance",A police officer promises to share his lottery ticket with a waitress in lieu of a tip.
Cheaper by the Dozen (2022),"Adventure, Comedy, Family","The raucous exploits of a blended family of 12, the Bakers, as they navigate a hectic home life while simultaneously managing their family business."
Spontaneous (II) (2020),"Comedy, Drama, Horror","Get ready for the outrageous coming-of-age love story about growing up...and blowing up. When students in their school begin exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last."
2046 (2004),"Drama, Romance, Sci-Fi","Several women enter a science fiction author's life over the course of a few years, after the author has lost the woman he considers his one true love."
Penelope (2006),"Comedy, Fantasy, Romance","A modern romantic tale about a young aristocratic heiress born under a curse that can only be broken when she finds true love with ""one who will accept her as one of their own."""
Our Blushing Brides (1930),"Drama, Music, Romance","Three department-store girls--Connie, Franky, and Jerry--share an apartment on West 91st Street in New York City. Each earns little more than $20 per week. Jerry is the sensible one, but ...See full summary»"
The Mexican (2001),"Adventure, Comedy, Drama","A man tries to transport an ancient gun called The Mexican, believed to carry a curse, back across the border, while his girlfriend pressures him to give up his criminal ways."
Jexi (2019),"Comedy, Romance, Sci-Fi","Phil makes top 10 pop lists at work. His only ""friend"" is cellphone Siri. His new phone includes AI helper Jexi, who improves/controls his social life."
Hereafter (2010),"Drama, Fantasy, Romance","A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways."
Lady Macbeth (2016),"Drama, Romance","In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate."
The Rules of Attraction (2002),"Comedy, Drama, Romance","The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate."
Valley of the Dolls (1967),"Drama, Music, Romance",Film version ofJacqueline Susann's best-selling novel chronicling the rise and fall of three young women in show business.
French Kiss (1995),"Comedy, Drama, Romance",A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.
Always (1989),"Drama, Fantasy, Romance",The spirit of a recently deceased expert pilot mentors a newer pilot while watching him fall in love with the girlfriend that he left behind.
Agora (2009),"Adventure, Biography, Drama","A historical drama set in Roman Egypt, concerning a slave who turns to the rising tide of Christianity in the hope of pursuing freedom while falling in love with his mistress, the philosophy and mathematics professor Hypatia of Alexandria."
Regarding Henry (1991),"Drama, Romance","After being shot, a lawyer loses his memory and must relearn speech and mobility, but he has a loving family to support him."
Sissy (I) (2022),"Comedy, Drama, Horror","Teen best friends Cecilia and Emma, run into each other after a decade. Cecilia is invited to Emma's bachelorette weekend where she gets stuck in a remote cabin with her high school bully and a taste for revenge."
Letters to Juliet (2010),"Adventure, Comedy, Drama","Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the ""Secretaries of Juliet""."
American Gigolo (1980),"Crime, Drama, Mystery","A Los Angeles male escort, who mostly caters to an older female clientèle, is accused of a murder which he did not commit."
Jin ling shi san chai (2011),"Drama, History, Romance","An American finds refuge during the 1937 Japanese invasion of Nanking in a church with a group of women. Posing as a priest, he attempts to lead the women to safety."
Il Decameron (1971),"Comedy, Drama, History","An adaptation of nine stories from Boccaccio's ""Decameron""."
On the Rocks (2020),"Comedy, Drama, Romance",A young mother reconnects with her larger-than-life playboy father on an adventure through New York.
De rouille et d'os (2012),"Drama, Romance","Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident."
Shôjo tsubaki: Chika gentô gekiga (1992),"Animation, Drama, Horror",The story based off of the controversial manga by Suehiro Maruo takes place where a little orphaned girl joins a freak-show circus troupe whose members rape and abuse her. She then finds a glimmer of hope in the enigmatic magician who joins the group.
Game of Love (I) (2022),"Romance, Thriller",A game show in which all is not as it seems.
It's a Boy Girl Thing (2006),"Comedy, Fantasy, Romance","Sworn enemies find themselves in each other's bodies, and use this to ruin each other's lives."
