Sing,"Animation, Comedy, Family","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."
Peter Pan & Wendy,"Action, Adventure, Comedy","Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland."
Forgetting Sarah Marshall,"Comedy, Drama, Romance","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend."
The Return of the Living Dead,"Comedy, Horror, Sci-Fi","When two bumbling employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to rise again as zombies."
Luck,"Animation, Adventure, Comedy",The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.
True Lies,"Action, Comedy, Thriller","A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States."
Carry on Jatta 3,"Comedy, Drama, Romance","Advocate Dhillon's son, Jass, is in love with Meet but her brothers get in a tussle with Adv. Dhillon. As a result, Adv. Dhillon rejects Meet's hand in marriage. Left with no option, Jass weaves a madhouse plan to propose to his friend."
Office Space,Comedy,Three company workers who hate their jobs decide to rebel against their greedy boss.
Mamma Mia! Here We Go Again,"Comedy, Musical, Romance","Five years after the events ofMamma Mia!(2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
Zootopia,"Animation, Adventure, Comedy","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
The Full Monty,"Comedy, Drama","Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity."
Step Brothers,Comedy,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.
Licorice Pizza,"Comedy, Drama, Romance","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
Robots,"Comedy, Romance, Sci-Fi",Charles is a womanizer while Elaine is a gold digger. The duo learn humanity when forced to team up and pursue robot doubles of themselves.
Mrs. Doubtfire,"Comedy, Drama","After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
Wildflower,"Comedy, Drama",A girl navigates life with two neurodivergent parents and an extended family that can't quite agree on the best way to help.
Movie 43,Comedy,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.
Sex Drive,"Comedy, Romance",A high-school senior drives cross-country with his best friends to hook up with a babe he met online.
Green Book,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Lady Bird,"Comedy, Drama","In 2002, an artistically inclined 17-year-old girl comes of age in Sacramento, California."
Maggie Moore(s),"Comedy, Crime, Thriller","Police Chief Sanders (Jon Hamm) investigates the bizarre murders of two women with the same name and unravels a web of small-town lies. He meets and quickly falls for Rita (Tina Fey), a nosy neighbor who is eager to help solve the mystery."
Napoleon Dynamite,Comedy,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home."
The Lost City,"Action, Adventure, Comedy",A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
Liar Liar,"Comedy, Fantasy",A pathological liar-lawyer finds his career turned upside down when he inexplicably cannot physically lie for 24 whole hours.
A Simple Favor,"Comedy, Crime, Mystery","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate."
Silver Linings Playbook,"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
Magic Mike's Last Dance,"Comedy, Drama","Mike takes to the stage again, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. Mike heads to London with a wealthy socialite who lures him with an offer he can't refuse."
Men in Black,"Action, Adventure, Comedy",A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.
Ghostbusters,"Action, Comedy, Fantasy","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
You People,"Comedy, Romance","Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences."
Uncle Buck,Comedy,Bachelor and all-round slob Buck babysits his brother's rebellious teenage daughter and her cute younger brother and sister.
Big Trouble in Little China,"Action, Adventure, Comedy",A rough-and-tumble trucker and his side kick face off with an ancient sorcerer in a supernatural battle beneath Chinatown.
Baywatch,"Action, Comedy, Crime","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
Jumanji,"Adventure, Comedy, Family","When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
